Date,Price,Open,High,Low,Vol.,Change ,Change p,Constant,Returns
22-Jun,"30,673.14","33,156.31","33,270.83","30,495.14",-,-7.03%,-0.0703,100,-7.03
22-May,"32,991.97","33,045.95","34,113.40","30,635.76",3.01B,0.04%,0.0004,,0.04
22-Apr,"32,977.21","34,740.89","35,492.22","32,913.15",7.22B,-4.91%,-0.0491,,-4.91
22-Mar,"34,678.35","33,813.48","35,372.26","32,578.73",9.22B,2.32%,0.0232,,2.32
22-Feb,"33,892.60","35,151.47","35,824.28","32,272.64",7.36B,-3.53%,-0.0353,,-3.53
22-Jan,"35,131.86","36,321.59","36,952.65","33,150.33",8.90B,-3.32%,-0.0332,,-3.32
21-Dec,"36,338.30","34,678.94","36,679.44","34,006.98",8.41B,5.38%,0.0538,,5.38
21-Nov,"34,483.72","35,833.65","36,565.73","34,424.44",7.23B,-3.73%,-0.0373,,-3.73
21-Oct,"35,819.56","33,930.70","35,892.92","33,785.54",6.77B,5.84%,0.0584,,5.84
21-Sep,"33,843.92","35,387.55","35,475.40","33,613.03",6.66B,-4.29%,-0.0429,,-4.29
21-Aug,"35,360.73","34,968.56","35,631.19","34,690.25",5.66B,1.22%,0.0122,,1.22
21-Jul,"34,935.47","34,507.32","35,171.52","33,741.76",6.71B,1.25%,0.0125,,1.25
21-Jun,"34,502.51","34,584.19","34,849.32","33,271.93",6.83B,-0.08%,-0.0008,,-0.08
21-May,"34,529.45","33,904.89","35,091.56","33,473.80",6.61B,1.93%,0.0193,,1.93
21-Apr,"33,874.85","33,054.58","34,256.75","32,985.35",6.89B,2.71%,0.0271,,2.71
21-Mar,"32,981.55","31,065.90","33,259.00","30,547.53",9.79B,6.62%,0.0662,,6.62
21-Feb,"30,932.37","30,054.73","32,009.64","30,014.97",6.77B,3.17%,0.0317,,3.17
21-Jan,"29,982.62","30,627.47","31,272.22","29,856.30",8.22B,-2.04%,-0.0204,,-2.04
20-Dec,"30,606.48","29,797.50","30,637.47","29,599.29",8.18B,3.27%,0.0327,,3.27
20-Nov,"29,638.64","26,691.28","30,116.51","26,691.28",7.92B,11.84%,0.1184,,11.84
20-Oct,"26,501.60","27,940.63","28,957.90","26,143.77",8.51B,-4.61%,-0.0461,,-4.61
20-Sep,"27,781.70","28,439.61","29,199.35","26,537.01",10.05B,-2.28%,-0.0228,,-2.28
20-Aug,"28,430.05","26,542.32","28,733.35","26,534.38",7.51B,7.57%,0.0757,,7.57
20-Jul,"26,428.32","25,879.38","27,071.33","25,523.51",8.27B,2.38%,0.0238,,2.38
20-Jun,"25,812.88","25,342.99","27,580.21","24,843.18",9.82B,1.69%,0.0169,,1.69
20-May,"25,383.11","24,120.78","25,758.79","22,789.62",8.01B,4.26%,0.0426,,4.26
20-Apr,"24,345.72","21,227.38","24,764.77","20,735.02",9.88B,11.08%,0.1108,,11.08
20-Mar,"21,917.16","25,590.51","27,102.34","18,213.65",15.60B,-13.74%,-0.1374,,-13.74
20-Feb,"25,409.36","28,319.65","29,568.57","24,681.01",7.05B,-10.07%,-0.1007,,-10.07
20-Jan,"28,256.03","28,638.97","29,373.62","28,169.53",6.27B,-0.99%,-0.0099,,-0.99
19-Dec,"28,538.44","28,109.74","28,701.66","27,325.13",5.14B,1.74%,0.0174,,1.74
19-Nov,"28,051.41","27,142.95","28,174.97","27,142.95",4.98B,3.72%,0.0372,,3.72
19-Oct,"27,046.23","26,962.54","27,204.36","25,743.46",5.72B,0.48%,0.0048,,0.48
19-Sep,"26,916.83","26,198.26","27,306.73","25,978.22",5.09B,1.95%,0.0195,,1.95
19-Aug,"26,403.28","26,879.86","27,175.59","25,339.60",6.24B,-1.72%,-0.0172,,-1.72
19-Jul,"26,864.27","26,805.86","27,398.68","26,616.21",5.27B,0.99%,0.0099,,0.99
19-Jun,"26,599.96","24,830.16","26,907.37","24,680.57",5.54B,7.19%,0.0719,,7.19
19-May,"24,815.04","26,639.06","26,689.39","24,809.51",6.36B,-6.69%,-0.0669,,-6.69
19-Apr,"26,592.91","26,075.10","26,695.96","26,062.59",5.85B,2.56%,0.0256,,2.56
19-Mar,"25,928.68","26,019.67","26,155.98","25,208.00",6.63B,0.05%,0.0005,,0.05
19-Feb,"25,916.00","25,025.31","26,241.42","24,883.04",5.43B,3.67%,0.0367,,3.67
19-Jan,"24,999.67","23,058.61","25,109.62","22,638.41",7.19B,7.17%,0.0717,,7.17
18-Dec,"23,327.46","25,779.57","25,980.21","21,712.53",8.10B,-8.66%,-0.0866,,-8.66
18-Nov,"25,538.46","25,142.08","26,277.82","24,268.74",7.23B,1.68%,0.0168,,1.68
18-Oct,"25,115.76","26,598.36","26,951.81","24,122.23",8.37B,-5.07%,-0.0507,,-5.07
18-Sep,"26,458.31","25,916.07","26,769.16","25,754.32",5.26B,1.90%,0.019,,1.9
18-Aug,"25,964.82","25,461.63","26,167.94","24,965.77",5.64B,2.16%,0.0216,,2.16
18-Jul,"25,415.19","24,161.53","25,587.24","24,077.56",5.41B,4.71%,0.0471,,4.71
18-Jun,"24,271.41","24,542.09","25,402.83","23,997.21",7.41B,-0.59%,-0.0059,,-0.59
18-May,"24,415.84","24,117.29","25,086.49","23,531.31",7.28B,1.05%,0.0105,,1.05
18-Apr,"24,163.15","24,076.60","24,858.97","23,344.52",8.06B,0.25%,0.0025,,0.25
18-Mar,"24,103.11","25,024.04","25,449.15","23,509.06",8.87B,-3.70%,-0.037,,-3.7
18-Feb,"25,029.20","26,083.04","26,306.70","23,360.29",9.45B,-4.28%,-0.0428,,-4.28
18-Jan,"26,149.39","24,809.35","26,616.71","24,741.70",9.12B,5.79%,0.0579,,5.79
17-Dec,"24,719.22","24,305.40","24,876.07","23,921.90",6.59B,1.84%,0.0184,,1.84
17-Nov,"24,272.35","23,442.90","24,327.82","23,242.75",7.34B,3.83%,0.0383,,3.83
17-Oct,"23,377.24","22,423.47","23,485.25","22,416.00",7.30B,4.34%,0.0434,,4.34
17-Sep,"22,405.09","21,981.77","22,419.51","21,709.63",6.34B,2.08%,0.0208,,2.08
17-Aug,"21,948.10","21,961.42","22,179.11","21,600.34",6.15B,0.26%,0.0026,,0.26
17-Jul,"21,891.12","21,392.30","21,929.80","21,279.30",5.57B,2.54%,0.0254,,2.54
17-Jun,"21,349.63","21,030.55","21,535.03","20,994.22",7.21B,1.62%,0.0162,,1.62
17-May,"21,008.65","20,962.73","21,112.32","20,553.45",6.61B,0.33%,0.0033,,0.33
17-Apr,"20,940.51","20,665.17","21,070.90","20,379.55",5.39B,1.34%,0.0134,,1.34
17-Mar,"20,663.22","20,957.29","21,169.11","20,412.80",6.94B,-0.72%,-0.0072,,-0.72
17-Feb,"20,812.24","19,923.81","20,851.33","19,831.09",6.19B,4.77%,0.0477,,4.77
17-Jan,"19,864.09","19,872.86","20,125.58","19,677.94",6.48B,0.51%,0.0051,,0.51
16-Dec,"19,762.60","19,149.20","19,987.63","19,138.79",5.95B,3.34%,0.0334,,3.34
16-Nov,"19,123.58","18,158.24","19,225.29","17,883.56",2.11B,5.41%,0.0541,,5.41
16-Oct,"18,142.42","18,279.60","18,399.96","17,959.95",1.79B,-0.91%,-0.0091,,-0.91
16-Sep,"18,308.15","18,396.57","18,551.54","17,992.21",2.10B,-0.50%,-0.005,,-0.5
16-Aug,"18,400.88","18,434.50","18,668.44","18,247.79",1.70B,-0.17%,-0.0017,,-0.17
16-Jul,"18,432.24","17,924.24","18,622.01","17,713.45",1.82B,2.80%,0.028,,2.8
16-Jun,"17,929.99","17,754.55","18,016.00","17,063.08",2.35B,0.80%,0.008,,0.8
16-May,"17,787.20","17,783.78","17,934.61","17,331.07",1.88B,0.08%,0.0008,,0.08
16-Apr,"17,773.64","17,661.74","18,167.63","17,484.23",2.10B,0.50%,0.005,,0.5
16-Mar,"17,685.09","16,545.67","17,790.11","16,545.67",2.41B,7.08%,0.0708,,7.08
16-Feb,"16,516.50","16,453.63","16,795.98","15,503.01",2.49B,0.30%,0.003,,0.3
16-Jan,"16,466.30","17,405.48","17,405.48","15,450.56",2.84B,-5.50%,-0.055,,-5.5
15-Dec,"17,425.03","17,719.72","17,901.58","17,116.73",2.52B,-1.66%,-0.0166,,-1.66
15-Nov,"17,719.92","17,672.62","17,977.85","17,210.43",2.30B,0.32%,0.0032,,0.32
15-Oct,"17,663.54","16,278.62","17,799.96","16,013.66",2.61B,8.47%,0.0847,,8.47
15-Sep,"16,284.70","16,528.03","16,933.43","15,942.37",2.72B,-1.47%,-0.0147,,-1.47
15-Aug,"16,528.03","17,696.74","17,704.76","15,370.33",2.73B,-6.57%,-0.0657,,-6.57
15-Jul,"17,689.86","17,638.12","18,137.12","17,399.17",2.03B,0.40%,0.004,,0.4
15-Jun,"17,619.51","18,017.82","18,188.81","17,576.50",2.22B,-2.17%,-0.0217,,-2.17
15-May,"18,010.68","17,859.27","18,351.36","17,733.12",1.83B,0.95%,0.0095,,0.95
15-Apr,"17,840.52","17,778.52","18,175.56","17,585.01",2.17B,0.36%,0.0036,,0.36
15-Mar,"17,776.12","18,134.05","18,288.63","17,579.27",2.47B,-1.97%,-0.0197,,-1.97
15-Feb,"18,132.70","17,169.99","18,244.38","17,037.76",1.75B,5.64%,0.0564,,5.64
15-Jan,"17,164.95","17,823.07","17,951.78","17,136.30",2.17B,-3.69%,-0.0369,,-3.69
14-Dec,"17,823.07","17,827.27","18,103.45","17,067.59",2.22B,-0.03%,-0.0003,,-0.03
14-Nov,"17,828.24","17,390.90","17,894.83","17,278.36",1.52B,2.52%,0.0252,,2.52
14-Oct,"17,390.52","17,040.46","17,395.54","15,855.12",2.31B,2.04%,0.0204,,2.04
14-Sep,"17,042.90","17,097.42","17,350.64","16,934.43",1.87B,-0.32%,-0.0032,,-0.32
14-Aug,"17,098.45","16,561.70","17,153.80","16,333.78",1.48B,3.23%,0.0323,,3.23
14-Jul,"16,563.30","16,828.53","17,151.56","16,563.30",1.69B,-1.56%,-0.0156,,-1.56
14-Jun,"16,826.60","16,716.85","16,978.02","16,673.65",1.76B,0.65%,0.0065,,0.65
14-May,"16,717.17","16,580.26","16,735.51","16,341.30",1.64B,0.82%,0.0082,,0.82
14-Apr,"16,580.84","16,458.05","16,631.63","16,015.32",1.99B,0.75%,0.0075,,0.75
14-Mar,"16,457.66","16,321.71","16,505.70","16,046.99",2.10B,0.83%,0.0083,,0.83
14-Feb,"16,321.71","15,697.69","16,398.95","15,340.69",2.07B,3.97%,0.0397,,3.97
14-Jan,"15,698.85","16,572.17","16,573.07","15,617.55",2.18B,-5.30%,-0.053,,-5.3
13-Dec,"16,576.66","16,087.12","16,588.25","15,703.79",2.06B,3.05%,0.0305,,3.05
13-Nov,"16,086.41","15,558.01","16,174.51","15,522.18",1.82B,3.48%,0.0348,,3.48
13-Oct,"15,545.75","15,132.49","15,721.00","14,719.43",2.21B,2.75%,0.0275,,2.75
13-Sep,"15,129.67","14,801.55","15,709.58","14,777.48",2.37B,2.16%,0.0216,,2.16
13-Aug,"14,810.31","15,503.85","15,658.43","14,760.41",2.33B,-4.45%,-0.0445,,-4.45
13-Jul,"15,499.54","14,911.60","15,634.32","14,858.93",2.57B,3.96%,0.0396,,3.96
13-Jun,"14,909.60","15,123.55","15,340.09","14,551.27",2.93B,-1.36%,-0.0136,,-1.36
13-May,"15,115.57","14,839.80","15,542.40","14,687.05",2.77B,1.86%,0.0186,,1.86
13-Apr,"14,839.80","14,578.54","14,887.51","14,434.43",2.92B,1.79%,0.0179,,1.79
13-Mar,"14,578.54","14,054.49","14,585.10","13,937.60",2.55B,3.73%,0.0373,,3.73
13-Feb,"14,054.49","13,860.58","14,149.15","13,784.01",2.49B,1.40%,0.014,,1.4
13-Jan,"13,860.58","13,104.30","13,969.99","13,104.30",2.79B,5.77%,0.0577,,5.77
12-Dec,"13,104.14","13,027.73","13,365.86","12,883.89",2.67B,0.60%,0.006,,0.6
12-Nov,"13,025.58","13,099.19","13,290.75","12,471.49",2.68B,-0.54%,-0.0054,,-0.54
12-Oct,"13,096.46","13,437.66","13,661.87","13,039.86",2.47B,-2.54%,-0.0254,,-2.54
12-Sep,"13,437.13","13,092.15","13,653.24","12,977.09",2.70B,2.65%,0.0265,,2.65
12-Aug,"13,090.84","13,007.47","13,330.76","12,778.90",2.27B,0.63%,0.0063,,0.63
12-Jul,"13,008.68","12,879.71","13,128.64","12,492.25",2.58B,1.00%,0.01,,1
12-Jun,"12,880.09","12,391.56","12,898.94","12,035.09",2.92B,3.93%,0.0393,,3.93
12-May,"12,393.45","13,214.16","13,338.66","12,311.56",3.05B,-6.21%,-0.0621,,-6.21
12-Apr,"13,213.63","13,211.36","13,297.11","12,710.56",2.57B,0.01%,0.0001,,0.01
12-Mar,"13,212.04","12,952.29","13,289.08","12,734.86",3.20B,2.01%,0.0201,,2.01
12-Feb,"12,952.07","12,632.76","13,055.75","12,632.76",2.71B,2.53%,0.0253,,2.53
12-Jan,"12,632.91","12,221.19","12,841.95","12,221.19",2.98B,3.40%,0.034,,3.4
11-Dec,"12,217.56","12,046.21","12,328.47","11,735.19",3.15B,1.43%,0.0143,,1.43
11-Nov,"12,045.68","11,951.53","12,187.51","11,231.56",3.40B,0.76%,0.0076,,0.76
11-Oct,"11,955.01","10,912.10","12,284.31","10,404.49",3.91B,9.54%,0.0954,,9.54
11-Sep,"10,913.38","11,613.30","11,716.84","10,597.14",4.40B,-6.03%,-0.0603,,-6.03
11-Aug,"11,613.53","12,144.22","12,282.42","10,604.07",6.20B,-4.36%,-0.0436,,-4.36
11-Jul,"12,143.24","12,412.07","12,753.89","12,083.45",3.09B,-2.18%,-0.0218,,-2.18
11-Jun,"12,414.34","12,569.41","12,569.49","11,862.53",3.88B,-1.24%,-0.0124,,-1.24
11-May,"12,569.79","12,810.16","12,876.00","12,309.52",3.58B,-1.88%,-0.0188,,-1.88
11-Apr,"12,810.54","12,321.02","12,832.83","12,093.89",3.32B,3.98%,0.0398,,3.98
11-Mar,"12,319.73","12,226.49","12,383.46","11,555.48",3.85B,0.76%,0.0076,,0.76
11-Feb,"12,226.34","11,892.50","12,391.29","11,892.50",3.22B,2.81%,0.0281,,2.81
11-Jan,"11,891.93","11,577.43","12,020.52","11,573.87",3.68B,2.72%,0.0272,,2.72
10-Dec,"11,577.51","11,007.23","11,625.00","11,007.23",3.25B,5.19%,0.0519,,5.19
10-Nov,"11,006.02","11,120.30","11,451.53","10,929.28",3.81B,-1.01%,-0.0101,,-1.01
10-Oct,"11,118.49","10,789.72","11,247.60","10,711.12",3.79B,3.06%,0.0306,,3.06
10-Sep,"10,788.05","10,016.01","10,948.88","10,016.01",3.76B,7.72%,0.0772,,7.72
10-Aug,"10,014.72","10,468.82","10,719.94","9,936.62",4.12B,-4.31%,-0.0431,,-4.31
10-Jul,"10,465.94","9,773.27","10,584.99","9,614.32",4.20B,7.08%,0.0708,,7.08
10-Jun,"9,774.02","10,133.94","10,594.16","9,753.84",4.94B,-3.58%,-0.0358,,-3.58
10-May,"10,136.63","11,009.60","11,177.67","9,774.48",5.61B,-7.92%,-0.0792,,-7.92
10-Apr,"11,008.61","10,857.31","11,258.01","10,844.09",4.24B,1.40%,0.014,,1.4
10-Mar,"10,856.63","10,326.10","10,955.48","10,326.10",4.39B,5.15%,0.0515,,5.15
10-Feb,"10,325.26","10,068.99","10,438.55","9,835.09",4.28B,2.56%,0.0256,,2.56
10-Jan,"10,067.33","10,430.69","10,729.89","10,043.75",4.39B,-3.46%,-0.0346,,-3.46
9-Dec,"10,428.05","10,343.82","10,580.33","10,235.63",4.17B,0.80%,0.008,,0.8
9-Nov,"10,344.84","9,712.13","10,495.61","9,678.95",3.81B,6.51%,0.0651,,6.51
9-Oct,"9,712.73","9,711.60","10,119.47","9,430.08",5.15B,0.00%,0,,0
9-Sep,"9,712.28","9,492.32","9,917.99","9,252.93",4.48B,2.27%,0.0227,,2.27
9-Aug,"9,496.28","9,173.65","9,630.20","9,116.52",4.04B,3.54%,0.0354,,3.54
9-Jul,"9,171.61","8,447.53","9,246.43","8,087.19",4.90B,8.58%,0.0858,,8.58
9-Jun,"8,447.00","8,501.53","8,877.93","8,259.43",5.52B,-0.63%,-0.0063,,-0.63
9-May,"8,500.33","8,167.41","8,591.93","8,099.31",6.73B,4.07%,0.0407,,4.07
9-Apr,"8,168.12","7,606.13","8,307.51","7,483.87",7.80B,7.35%,0.0735,,7.35
9-Mar,"7,608.92","7,056.48","7,931.33","6,469.95",10.56B,7.73%,0.0773,,7.73
9-Feb,"7,062.93","8,000.62","8,315.07","7,033.62",7.13B,-11.72%,-0.1172,,-11.72
9-Jan,"8,000.86","8,772.25","9,088.06","7,909.03",6.26B,-8.84%,-0.0884,,-8.84
8-Dec,"8,776.39","8,826.89","9,026.41","8,118.50",5.70B,-0.60%,-0.006,,-0.6
8-Nov,"8,829.04","9,326.04","9,653.95","7,449.38",6.26B,-5.32%,-0.0532,,-5.32
8-Oct,"9,325.01","10,847.40","10,882.52","7,882.51",8.31B,-14.06%,-0.1406,,-14.06
8-Sep,"10,850.66","11,545.63","11,790.17","10,365.45",6.30B,-6.00%,-0.06,,-6
8-Aug,"11,543.55","11,379.89","11,867.11","11,221.53",3.58B,1.45%,0.0145,,1.45
8-Jul,"11,378.02","11,344.64","11,698.17","10,827.71",5.52B,0.25%,0.0025,,0.25
8-Jun,"11,350.01","12,637.67","12,638.08","11,287.56",5.31B,-10.19%,-0.1019,,-10.19
8-May,"12,638.32","12,818.34","13,136.69","12,442.59",4.53B,-1.42%,-0.0142,,-1.42
8-Apr,"12,820.13","12,266.64","13,010.00","12,266.47",5.05B,4.54%,0.0454,,4.54
8-Mar,"12,262.89","12,264.36","12,622.07","11,731.60",6.23B,-0.03%,-0.0003,,-0.03
8-Feb,"12,266.39","12,638.17","12,767.74","12,069.47",5.72B,-3.04%,-0.0304,,-3.04
8-Jan,"12,650.36","13,261.82","13,279.54","11,634.82",7.46B,-4.63%,-0.0463,,-4.63
7-Dec,"13,264.82","13,368.22","13,780.11","13,092.00",4.31B,-0.80%,-0.008,,-0.8
7-Nov,"13,371.72","13,924.16","13,924.16","12,724.09",5.98B,-4.01%,-0.0401,,-4.01
7-Oct,"13,930.01","13,895.71","14,198.10","13,407.49",5.01B,0.25%,0.0025,,0.25
7-Sep,"13,895.63","13,358.39","13,924.81","13,021.93",4.33B,4.03%,0.0403,,4.03
7-Aug,"13,357.74","13,211.09","13,695.82","12,517.94",6.20B,1.10%,0.011,,1.1
7-Jul,"13,211.99","13,409.60","14,021.95","13,199.79",5.51B,-1.47%,-0.0147,,-1.47
7-Jun,"13,408.62","13,628.69","13,692.00","13,251.53",5.22B,-1.61%,-0.0161,,-1.61
7-May,"13,627.64","13,062.75","13,673.07","13,041.30",4.99B,4.32%,0.0432,,4.32
7-Apr,"13,062.91","12,354.52","13,162.06","12,324.28",4.82B,5.74%,0.0574,,5.74
7-Mar,"12,354.35","12,265.59","12,511.05","11,939.61",5.63B,0.70%,0.007,,0.7
7-Feb,"12,268.63","12,617.20","12,795.93","12,086.06",4.35B,-2.80%,-0.028,,-2.8
7-Jan,"12,621.69","12,459.54","12,657.02","12,337.37",4.99B,1.27%,0.0127,,1.27
6-Dec,"12,463.15","12,220.97","12,529.88","12,089.98",4.34B,1.97%,0.0197,,1.97
6-Nov,"12,221.93","12,080.25","12,361.00","11,965.31",4.72B,1.17%,0.0117,,1.17
6-Oct,"12,080.73","11,678.99","12,167.02","11,653.06",5.54B,3.44%,0.0344,,3.44
6-Sep,"11,679.07","11,382.75","11,741.99","11,323.84",4.49B,2.62%,0.0262,,2.62
6-Aug,"11,381.15","11,184.80","11,407.08","11,042.64",4.62B,1.75%,0.0175,,1.75
6-Jul,"11,185.68","11,149.34","11,257.08","10,683.32",5.55B,0.32%,0.0032,,0.32
6-Jun,"11,150.22","11,169.03","11,285.82","10,698.85",6.92B,-0.16%,-0.0016,,-0.16
6-May,"11,168.31","11,367.78","11,670.19","11,030.47",7.30B,-1.75%,-0.0175,,-1.75
6-Apr,"11,367.14","11,113.00","11,417.66","11,039.12",5.58B,2.32%,0.0232,,2.32
6-Mar,"11,109.32","10,993.25","11,334.96","10,922.73",6.68B,1.05%,0.0105,,1.05
6-Feb,"10,993.41","10,862.14","11,159.18","10,737.67",5.76B,1.18%,0.0118,,1.18
6-Jan,"10,864.86","10,718.30","11,047.76","10,661.15",6.43B,1.37%,0.0137,,1.37
5-Dec,"10,717.50","10,806.03","10,940.34","10,709.42",5.22B,-0.82%,-0.0082,,-0.82
5-Nov,"10,805.87","10,437.51","10,959.79","10,388.76",5.39B,3.50%,0.035,,3.5
5-Oct,"10,440.07","10,569.50","10,608.56","10,156.46",5.83B,-1.22%,-0.0122,,-1.22
5-Sep,"10,568.70","10,481.44","10,701.81","10,350.96",5.22B,0.83%,0.0083,,0.83
5-Aug,"10,481.60","10,641.78","10,719.41","10,349.37",5.08B,-1.50%,-0.015,,-1.5
5-Jul,"10,640.91","10,273.59","10,717.73","10,175.40",4.82B,3.56%,0.0356,,3.56
5-Jun,"10,274.97","10,462.86","10,656.29","10,253.49",5.03B,-1.84%,-0.0184,,-1.84
5-May,"10,467.48","10,192.00","10,560.81","10,075.55",4.84B,2.70%,0.027,,2.7
5-Apr,"10,192.51","10,504.57","10,568.93","10,000.46",5.85B,-2.96%,-0.0296,,-2.96
5-Mar,"10,503.76","10,769.04","10,984.46","10,396.24",5.82B,-2.44%,-0.0244,,-2.44
5-Feb,"10,766.23","10,489.72","10,853.43","10,489.64",5.04B,2.63%,0.0263,,2.63
5-Jan,"10,489.94","10,783.75","10,867.39","10,368.61",5.30B,-2.72%,-0.0272,,-2.72
4-Dec,"10,783.01","10,425.80","10,868.07","10,418.63",5.74B,3.40%,0.034,,3.4
4-Nov,"10,428.02","10,028.73","10,602.85","10,010.15",5.61B,3.99%,0.0399,,3.99
4-Oct,"10,027.47","10,082.04","10,270.37","9,708.40",5.29B,-0.52%,-0.0052,,-0.52
4-Sep,"10,080.27","10,170.12","10,363.36","9,977.92",4.63B,-0.92%,-0.0092,,-0.92
4-Aug,"10,173.92","10,138.45","10,211.25","9,783.91",3.72B,0.34%,0.0034,,0.34
4-Jul,"10,139.71","10,434.00","10,448.09","9,913.92",4.45B,-2.83%,-0.0283,,-2.83
