Year,Month,Return percentage ,Amount ,Return,Constant,Returns
1964,2,"2.07
%","35,069.84",0.0207,,2.07
1964,3,"1.69
%","35,663.61",0.0169,,1.69
1964,4,"1.22
%","36,098.83",0.0122,,1.22
1964,5,"-0.35
%","35,972.25",-0.0035,,-0.35
1964,6,"3.96
%","37,397.12",0.0396,,3.96
1964,7,"-1.23
%","36,938.76",-0.0123,,-1.23
1964,8,"1.97
%","37,664.77",0.0197,,1.97
1964,9,"1.97
%","38,406.83",0.0197,,1.97
1964,10,"0.94
%","38,766.69",0.0094,,0.94
1964,11,"-1.49
%","38,188.94",-0.0149,,-1.49
1964,12,"2.82
%","39,266.17",0.0282,,2.82
1965,1,"0.98
%","39,649.03",0.0098,,0.98
1965,2,"0.34
%","39,782.09",0.0034,,0.34
1965,3,"1.56
%","40,401.75",0.0156,,1.56
1965,4,"1.73
%","41,101.75",0.0173,,1.73
1965,5,"-4.51
%","39,249.15",-0.0451,,-4.51
1965,6,"0.10
%","39,289.53",0.001,,0.1
1965,7,"2.12
%","40,121.91",0.0212,,2.12
1965,8,"3.60
%","41,564.74",0.036,,3.6
1965,9,"2.50
%","42,602.54",0.025,,2.5
1965,10,"1.08
%","43,060.94",0.0108,,1.08
1965,11,"-0.21
%","42,969.81",-0.0021,,-0.21
1965,12,"1.98
%","43,820.81",0.0198,,1.98
1966,1,"-0.43
%","43,632.20",-0.0043,,-0.43
1966,2,"-3.86
%","41,946.97",-0.0386,,-3.86
1966,3,"3.32
%","43,340.02",0.0332,,3.32
1966,4,"-5.01
%","41,169.73",-0.0501,,-5.01
1966,5,"-0.56
%","40,939.37",-0.0056,,-0.56
1966,6,"0.02
%","40,946.91",0.0002,,0.02
1966,7,"-5.77
%","38,584.49",-0.0577,,-5.77
1966,8,"-3.22
%","37,340.20",-0.0322,,-3.22
1966,9,"-0.56
%","37,129.45",-0.0056,,-0.56
1966,10,"5.32
%","39,103.28",0.0532,,5.32
1966,11,"0.72
%","39,383.18",0.0072,,0.72
1966,12,"4.13
%","41,009.82",0.0413,,4.13
1967,1,"3.73
%","42,539.49",0.0373,,3.73
1967,2,"2.63
%","43,659.87",0.0263,,2.63
1967,3,"1.99
%","44,529.78",0.0199,,1.99
1967,4,"2.06
%","45,446.06",0.0206,,2.06
1967,5,"-0.99
%","44,995.31",-0.0099,,-0.99
1967,6,"1.99
%","45,891.81",0.0199,,1.99
1967,7,"1.85
%","46,741.56",0.0185,,1.85
1967,8,"1.65
%","47,514.63",0.0165,,1.65
1967,9,"0.10
%","47,560.91",0.001,,0.1
1967,10,"-2.88
%","46,190.33",-0.0288,,-2.88
1967,11,"3.11
%","47,627.65",0.0311,,3.11
1967,12,"-0.02
%","47,619.33",-0.0002,,-0.02
1968,1,"-4.26
%","45,592.18",-0.0426,,-4.26
1968,2,"-1.56
%","44,881.29",-0.0156,,-1.56
1968,3,"7.66
%","48,319.98",0.0766,,7.66
1968,4,"2.56
%","49,555.85",0.0256,,2.56
1968,5,"2.94
%","51,013.14",0.0294,,2.94
1968,6,"0.05
%","51,038.09",0.0005,,0.05
1968,7,"-1.93
%","50,051.06",-0.0193,,-1.93
1968,8,"3.51
%","51,806.69",0.0351,,3.51
1968,9,"2.72
%","53,214.37",0.0272,,2.72
1968,10,"1.79
%","54,164.65",0.0179,,1.79
1968,11,"1.29
%","54,860.83",0.0129,,1.29
1968,12,"-3.99
%","52,674.56",-0.0399,,-3.99
1969,1,"-0.24
%","52,548.90",-0.0024,,-0.24
1969,2,"-1.91
%","51,543.22",-0.0191,,-1.91
1969,3,"2.27
%","52,715.44",0.0227,,2.27
1969,4,"3.51
%","54,567.59",0.0351,,3.51
1969,5,"-4.97
%","51,854.86",-0.0497,,-4.97
1969,6,"-4.21
%","49,674.20",-0.0421,,-4.21
1969,7,"-0.28
%","49,533.31",-0.0028,,-0.28
1969,8,"0.63
%","49,844.64",0.0063,,0.63
1969,9,"1.35
%","50,515.76",0.0135,,1.35
1969,10,"1.00
%","51,019.64",0.01,,1
1969,11,"-5.03
%","48,454.63",-0.0503,,-5.03
1969,12,"-0.59
%","48,169.22",-0.0059,,-0.59
1970,1,"-3.20
%","46,629.69",-0.032,,-3.2
1970,2,"2.01
%","47,568.00",0.0201,,2.01
1970,3,"-2.75
%","46,260.97",-0.0275,,-2.75
1970,4,"-11.20
%","41,080.20",-0.112,,-11.2
1970,5,"-0.27
%","40,969.33",-0.0027,,-0.27
1970,6,"0.52
%","41,183.42",0.0052,,0.52
1970,7,"3.26
%","42,524.26",0.0326,,3.26
1970,8,"6.32
%","45,212.34",0.0632,,6.32
1970,9,"2.49
%","46,337.91",0.0249,,2.49
1970,10,"0.21
%","46,433.71",0.0021,,0.21
1970,11,"7.16
%","49,757.60",0.0716,,7.16
1970,12,"4.11
%","51,802.98",0.0411,,4.11
1971,1,"4.15
%","53,953.35",0.0415,,4.15
1971,2,"2.83
%","55,481.23",0.0283,,2.83
1971,3,"3.67
%","57,519.53",0.0367,,3.67
1971,4,"-1.11
%","56,882.29",-0.0111,,-1.11
1971,5,"-1.60
%","55,974.53",-0.016,,-1.6
1971,6,"-0.46
%","55,715.39",-0.0046,,-0.46
1971,7,"-1.52
%","54,870.12",-0.0152,,-1.52
1971,8,"2.49
%","56,234.41",0.0249,,2.49
1971,9,"-1.86
%","55,186.38",-0.0186,,-1.86
1971,10,"-4.37
%","52,773.89",-0.0437,,-4.37
1971,11,"7.16
%","56,554.41",0.0716,,7.16
1971,12,"4.42
%","59,055.55",0.0442,,4.42
1972,1,"2.09
%","60,288.01",0.0209,,2.09
1972,2,"2.62
%","61,867.33",0.0262,,2.62
1972,3,"1.26
%","62,646.17",0.0126,,1.26
1972,4,"-0.78
%","62,160.11",-0.0078,,-0.78
1972,5,"0.52
%","62,480.91",0.0052,,0.52
1972,6,"-0.50
%","62,166.10",-0.005,,-0.5
1972,7,"3.78
%","64,518.27",0.0378,,3.78
1972,8,"-1.21
%","63,737.30",-0.0121,,-1.21
1972,9,"0.42
%","64,003.36",0.0042,,0.42
1972,10,"5.25
%","67,366.23",0.0525,,5.25
1972,11,"2.31
%","68,923.41",0.0231,,2.31
1972,12,"0.99
%","69,605.31",0.0099,,0.99
1973,1,"-3.33
%","67,290.85",-0.0333,,-3.33
1973,2,"-1.35
%","66,385.55",-0.0135,,-1.35
1973,3,"-1.63
%","65,301.27",-0.0163,,-1.63
1973,4,"-2.57
%","63,623.19",-0.0257,,-2.57
1973,5,"-1.99
%","62,357.22",-0.0199,,-1.99
1973,6,"1.21
%","63,111.89",0.0121,,1.21
1973,7,"-1.64
%","62,079.75",-0.0164,,-1.64
1973,8,"2.00
%","63,318.42",0.02,,2
1973,9,"4.24
%","66,000.16",0.0424,,4.24
1973,10,"-6.85
%","61,477.26",-0.0685,,-6.85
1973,11,"-6.81
%","57,293.56",-0.0681,,-6.81
1973,12,"1.70
%","58,267.79",0.017,,1.7
1974,1,"-2.47
%","56,826.91",-0.0247,,-2.47
1974,2,"4.57
%","59,426.54",0.0457,,4.57
1974,3,"-4.82
%","56,564.17",-0.0482,,-4.82
1974,4,"-2.71
%","55,033.73",-0.0271,,-2.71
1974,5,"0.46
%","55,285.36",0.0046,,0.46
1974,6,"-11.35
%","49,012.22",-0.1135,,-11.35
1974,7,"-3.76
%","47,167.02",-0.0376,,-3.76
1974,8,"-10.01
%","42,443.91",-0.1001,,-10.01
1974,9,"2.38
%","43,452.77",0.0238,,2.38
1974,10,"3.74
%","45,079.40",0.0374,,3.74
1974,11,"-6.09
%","42,333.24",-0.0609,,-6.09
1974,12,"8.63
%","45,987.78",0.0863,,8.63
1975,1,"10.81
%","50,957.92",0.1081,,10.81
1975,2,"4.97
%","53,492.38",0.0497,,4.97
1975,3,"1.49
%","54,287.83",0.0149,,1.49
1975,4,"6.71
%","57,931.98",0.0671,,6.71
1975,5,"2.89
%","59,608.89",0.0289,,2.89
1975,6,"0.43
%","59,866.40",0.0043,,0.43
1975,7,"-7.00
%","55,677.99",-0.07,,-7
1975,8,"-0.85
%","55,203.24",-0.0085,,-0.85
1975,9,"4.97
%","57,947.53",0.0497,,4.97
1975,10,"2.04
%","59,130.65",0.0204,,2.04
1975,11,"-1.18
%","58,433.12",-0.0118,,-1.18
1975,12,"9.55
%","64,010.73",0.0955,,9.55
1976,1,"4.18
%","66,685.19",0.0418,,4.18
1976,2,"0.80
%","67,220.27",0.008,,0.8
1976,3,"1.10
%","67,956.64",0.011,,1.1
1976,4,"-0.38
%","67,696.18",-0.0038,,-0.38
1976,5,"0.90
%","68,305.84",0.009,,0.9
1976,6,"2.67
%","70,126.43",0.0267,,2.67
1976,7,"-0.56
%","69,733.29",-0.0056,,-0.56
1976,8,"2.44
%","71,433.30",0.0244,,2.44
1976,9,"-3.11
%","69,213.00",-0.0311,,-3.11
1976,10,"-0.37
%","68,959.24",-0.0037,,-0.37
1976,11,"3.79
%","71,570.38",0.0379,,3.79
1976,12,"-0.54
%","71,185.87",-0.0054,,-0.54
1977,1,"-2.37
%","69,499.76",-0.0237,,-2.37
1977,2,"-0.05
%","69,462.11",-0.0005,,-0.05
1977,3,"-1.19
%","68,632.96",-0.0119,,-1.19
1977,4,"0.06
%","68,677.23",0.0006,,0.06
1977,5,"0.90
%","69,295.16",0.009,,0.9
1977,6,"1.28
%","70,183.83",0.0128,,1.28
1977,7,"-2.08
%","68,724.97",-0.0208,,-2.08
1977,8,"-1.18
%","67,917.23",-0.0118,,-1.18
1977,9,"-2.20
%","66,424.50",-0.022,,-2.2
1977,10,"0.98
%","67,076.22",0.0098,,0.98
1977,11,"-0.08
%","67,022.46",-0.0008,,-0.08
1977,12,"-3.39
%","64,750.16",-0.0339,,-3.39
1978,1,"-0.97
%","64,120.80",-0.0097,,-0.97
1978,2,"0.27
%","64,291.14",0.0027,,0.27
1978,3,"4.83
%","67,396.40",0.0483,,4.83
1978,4,"5.50
%","71,106.12",0.055,,5.5
1978,5,"0.67
%","71,585.06",0.0067,,0.67
1978,6,"-0.06
%","71,540.47",-0.0006,,-0.06
1978,7,"7.33
%","76,783.05",0.0733,,7.33
1978,8,"0.40
%","77,089.95",0.004,,0.4
1978,9,"-2.77
%","74,951.86",-0.0277,,-2.77
1978,10,"-5.44
%","70,876.24",-0.0544,,-5.44
1978,11,"1.92
%","72,239.06",0.0192,,1.92
1978,12,"4.19
%","75,262.49",0.0419,,4.19
1979,1,"-1.06
%","74,467.00",-0.0106,,-1.06
1979,2,"2.34
%","76,210.39",0.0234,,2.34
1979,3,"2.43
%","78,062.99",0.0243,,2.43
1979,4,"-1.89
%","76,585.24",-0.0189,,-1.89
1979,5,"2.42
%","78,436.80",0.0242,,2.42
1979,6,"1.42
%","79,551.26",0.0142,,1.42
1979,7,"5.01
%","83,540.23",0.0501,,5.01
1979,8,"1.54
%","84,827.13",0.0154,,1.54
1979,9,"-3.35
%","81,983.28",-0.0335,,-3.35
1979,10,"-0.32
%","81,718.94",-0.0032,,-0.32
1979,11,"4.40
%","85,317.84",0.044,,4.4
1979,12,"3.31
%","88,143.96",0.0331,,3.31
1980,1,"4.40
%","92,018.64",0.044,,4.4
1980,2,"-8.78
%","83,941.40",-0.0878,,-8.78
1980,3,"-1.16
%","82,965.96",-0.0116,,-1.16
1980,4,"5.04
%","87,144.24",0.0504,,5.04
1980,5,"6.86
%","93,124.68",0.0686,,6.86
1980,6,"4.97
%","97,752.47",0.0497,,4.97
1980,7,"3.50
%","101,178.38",0.035,,3.5
1980,8,"2.84
%","104,047.61",0.0284,,2.84
1980,9,"3.32
%","107,506.95",0.0332,,3.32
1980,10,"4.61
%","112,468.07",0.0461,,4.61
1980,11,"-1.24
%","111,068.09",-0.0124,,-1.24
1980,12,"0.01
%","111,079.18",0.0001,,0.01
1981,1,"-3.07
%","107,668.86",-0.0307,,-3.07
1981,2,"4.14
%","112,129.90",0.0414,,4.14
1981,3,"1.29
%","113,580.63",0.0129,,1.29
1981,4,"-1.62
%","111,743.73",-0.0162,,-1.62
1981,5,"0.86
%","112,702.03",0.0086,,0.86
1981,6,"-2.02
%","110,429.67",-0.0202,,-2.02
1981,7,"0.80
%","111,315.94",0.008,,0.8
1981,8,"-8.30
%","102,073.73",-0.083,,-8.3
1981,9,"1.73
%","103,836.80",0.0173,,1.73
1981,10,"3.04
%","106,997.31",0.0304,,3.04
1981,11,"1.18
%","108,259.20",0.0118,,1.18
1981,12,"-4.80
%","103,058.30",-0.048,,-4.8
1982,1,"-1.91
%","101,085.87",-0.0191,,-1.91
1982,2,"-2.74
%","98,311.53",-0.0274,,-2.74
1982,3,"5.47
%","103,688.49",0.0547,,5.47
1982,4,"0.57
%","104,279.15",0.0057,,0.57
1982,5,"-5.27
%","98,783.00",-0.0527,,-5.27
1982,6,"0.24
%","99,023.88",0.0024,,0.24
1982,7,"0.79
%","99,810.10",0.0079,,0.79
1982,8,"12.10
%","111,883.51",0.121,,12.1
1982,9,"8.88
%","121,820.33",0.0888,,8.88
1982,10,"4.50
%","127,302.14",0.045,,4.5
1982,11,"1.36
%","129,027.72",0.0136,,1.36
1982,12,"3.93
%","134,093.03",0.0393,,3.93
1983,1,"2.13
%","136,949.23",0.0213,,2.13
1983,2,"3.87
%","142,243.16",0.0387,,3.87
1983,3,"4.20
%","148,213.66",0.042,,4.2
1983,4,"4.42
%","154,770.65",0.0442,,4.42
1983,5,"1.75
%","157,484.56",0.0175,,1.75
1983,6,"0.71
%","158,599.76",0.0071,,0.71
1983,7,"-2.41
%","154,781.97",-0.0241,,-2.41
1983,8,"3.31
%","159,911.19",0.0331,,3.31
1983,9,"0.65
%","160,947.29",0.0065,,0.65
1983,10,"-1.14
%","159,110.20",-0.0114,,-1.14
1983,11,"-0.13
%","158,906.34",-0.0013,,-0.13
1983,12,"1.58
%","161,410.60",0.0158,,1.58
1984,1,"-5.11
%","153,159.00",-0.0511,,-5.11
1984,2,"0.44
%","153,836.51",0.0044,,0.44
1984,3,"0.51
%","154,616.77",0.0051,,0.51
1984,4,"-0.25
%","154,226.25",-0.0025,,-0.25
1984,5,"-1.85
%","151,375.68",-0.0185,,-1.85
1984,6,"-0.91
%","150,000.51",-0.0091,,-0.91
1984,7,"9.21
%","163,810.40",0.0921,,9.21
1984,8,"1.41
%","166,115.16",0.0141,,1.41
1984,9,"-0.41
%","165,430.09",-0.0041,,-0.41
1984,10,"1.29
%","167,557.36",0.0129,,1.29
1984,11,"-0.71
%","166,371.80",-0.0071,,-0.71
1984,12,"4.70
%","174,187.23",0.047,,4.7
1985,1,"5.79
%","184,268.07",0.0579,,5.79
1985,2,"-0.48
%","183,386.69",-0.0048,,-0.48
1985,3,"1.02
%","185,265.87",0.0102,,1.02
1985,4,"2.74
%","190,334.07",0.0274,,2.74
1985,5,"2.51
%","195,113.29",0.0251,,2.51
1985,6,"2.25
%","199,497.92",0.0225,,2.25
1985,7,"-1.85
%","195,816.56",-0.0185,,-1.85
1985,8,"-1.88
%","192,125.43",-0.0188,,-1.88
1985,9,"1.50
%","194,998.79",0.015,,1.5
1985,10,"6.42
%","207,518.72",0.0642,,6.42
1985,11,"5.29
%","218,505.83",0.0529,,5.29
1985,12,"0.75
%","220,148.40",0.0075,,0.75
1986,1,"5.70
%","232,690.80",0.057,,5.7
1986,2,"6.18
%","247,077.53",0.0618,,6.18
1986,3,"2.74
%","253,850.98",0.0274,,2.74
1986,4,"0.49
%","255,099.50",0.0049,,0.49
1986,5,"3.13
%","263,092.38",0.0313,,3.13
1986,6,"-1.80
%","258,346.42",-0.018,,-1.8
1986,7,"2.28
%","264,238.92",0.0228,,2.28
1986,8,"-2.46
%","257,748.59",-0.0246,,-2.46
1986,9,"-0.09
%","257,516.95",-0.0009,,-0.09
1986,10,"3.53
%","266,614.89",0.0353,,3.53
1986,11,"1.71
%","271,171.18",0.0171,,1.71
1986,12,"6.67
%","289,267.44",0.0667,,6.67
1987,1,"6.46
%","307,959.55",0.0646,,6.46
1987,2,"4.38
%","321,437.12",0.0438,,4.38
1987,3,"-0.86
%","318,684.29",-0.0086,,-0.86
1987,4,"0.17
%","319,235.08",0.0017,,0.17
1987,5,"4.50
%","333,595.69",0.045,,4.5
1987,6,"3.12
%","344,010.87",0.0312,,3.12
1987,7,"6.45
%","366,213.37",0.0645,,6.45
1987,8,"-3.03
%","355,115.55",-0.0303,,-3.03
1987,9,"-11.85
%","313,020.56",-0.1185,,-11.85
1987,10,"-12.30
%","274,508.34",-0.123,,-12.3
1987,11,"-1.33
%","270,844.49",-0.0133,,-1.33
1987,12,"4.25
%","282,346.02",0.0425,,4.25
1988,1,"3.33
%","291,744.09",0.0333,,3.33
1988,2,"3.23
%","301,173.43",0.0323,,3.23
1988,3,"-0.89
%","298,504.96",-0.0089,,-0.89
1988,4,"-2.19
%","291,972.88",-0.0219,,-2.19
1988,5,"6.00
%","309,485.99",0.06,,6
1988,6,"-0.31
%","308,536.12",-0.0031,,-0.31
1988,7,"-1.72
%","303,233.97",-0.0172,,-1.72
1988,8,"1.93
%","309,077.80",0.0193,,1.93
1988,9,"3.80
%","320,827.75",0.038,,3.8
1988,10,"-2.02
%","314,346.24",-0.0202,,-2.02
1988,11,"2.33
%","321,657.79",0.0233,,2.33
1988,12,"3.51
%","332,956.52",0.0351,,3.51
1989,1,"3.30
%","343,943.60",0.033,,3.3
1989,2,"-0.16
%","343,387.58",-0.0016,,-0.16
1989,3,"3.56
%","355,628.66",0.0356,,3.56
1989,4,"4.12
%","370,263.85",0.0412,,4.12
1989,5,"3.39
%","382,825.51",0.0339,,3.39
1989,6,"2.80
%","393,545.29",0.028,,2.8
1989,7,"4.69
%","412,005.53",0.0469,,4.69
1989,8,"0.46
%","413,882.36",0.0046,,0.46
1989,9,"0.29
%","415,067.13",0.0029,,0.29
1989,10,"-1.81
%","407,539.67",-0.0181,,-1.81
1989,11,"2.74
%","418,692.84",0.0274,,2.74
1989,12,"-2.21
%","409,434.59",-0.0221,,-2.21
1990,1,"-2.53
%","399,087.43",-0.0253,,-2.53
1990,2,"2.71
%","409,891.39",0.0271,,2.71
1990,3,"0.20
%","410,694.72",0.002,,0.2
1990,4,"3.85
%","426,510.27",0.0385,,3.85
1990,5,"3.17
%","440,030.46",0.0317,,3.17
1990,6,"0.17
%","440,777.30",0.0017,,0.17
1990,7,"-7.86
%","406,126.79",-0.0786,,-7.86
1990,8,"-4.34
%","388,496.58",-0.0434,,-4.34
1990,9,"-2.32
%","379,499.90",-0.0232,,-2.32
1990,10,"2.98
%","390,823.47",0.0298,,2.98
1990,11,"4.59
%","408,749.00",0.0459,,4.59
1990,12,"-0.69
%","405,948.37",-0.0069,,-0.69
1991,1,"11.61
%","453,065.89",0.1161,,11.61
1991,2,"3.04
%","466,860.02",0.0304,,3.04
1991,3,"2.26
%","477,405.59",0.0226,,2.26
1991,4,"-0.18
%","476,551.61",-0.0018,,-0.18
1991,5,"0.35
%","478,205.30",0.0035,,0.35
1991,6,"0.78
%","481,937.62",0.0078,,0.78
1991,7,"2.68
%","494,848.41",0.0268,,2.68
1991,8,"-0.30
%","493,348.52",-0.003,,-0.3
1991,9,"0.18
%","494,244.67",0.0018,,0.18
1991,10,"0.02
%","494,322.74",0.0002,,0.02
1991,11,"0.94
%","498,945.35",0.0094,,0.94
1991,12,"7.36
%","535,657.87",0.0736,,7.36
1992,1,"-0.60
%","532,439.40",-0.006,,-0.6
1992,2,"-1.01
%","527,049.10",-0.0101,,-1.01
1992,3,"0.26
%","528,442.10",0.0026,,0.26
1992,4,"2.07
%","539,372.14",0.0207,,2.07
1992,5,"-1.33
%","532,203.22",-0.0133,,-1.33
1992,6,"1.91
%","542,379.66",0.0191,,1.91
1992,7,"0.94
%","547,487.35",0.0094,,0.94
1992,8,"0.38
%","549,557.88",0.0038,,0.38
1992,9,"-1.18
%","543,061.80",-0.0118,,-1.18
1992,10,"2.76
%","558,033.49",0.0276,,2.76
1992,11,"3.27
%","576,287.88",0.0327,,3.27
1992,12,"0.14
%","577,111.36",0.0014,,0.14
1993,1,"1.72
%","587,062.18",0.0172,,1.72
1993,2,"2.15
%","599,684.92",0.0215,,2.15
1993,3,"-1.34
%","591,638.67",-0.0134,,-1.34
1993,4,"0.72
%","595,926.42",0.0072,,0.72
1993,5,"0.87
%","601,082.28",0.0087,,0.87
1993,6,"0.06
%","601,448.96",0.0006,,0.06
1993,7,"1.76
%","612,049.29",0.0176,,1.76
1993,8,"1.35
%","620,342.39",0.0135,,1.35
1993,9,"1.24
%","628,046.46",0.0124,,1.24
1993,10,"0.01
%","628,093.84",0.0001,,0.01
1993,11,"0.89
%","633,666.17",0.0089,,0.89
